nama,kelas,username,password,nisn,tempat_lahir,tanggal_lahir,nik,alamat,nomor_hp,email,role_id
Kirana Putri,1A,@kirana1408,kirana820,3180585639,Pekanbaru,14-08-2018,1471120208180002,Perum. Wisma Kualu Blok Ac,085363234317,,2
Lutfi Hakim,1A,@lutfi1508,lutfi411,3180585640,Pekanbaru,15-08-2018,1471120208180002,Perum. Wisma Kualu Blok Ac,085363234317,,2
Mega Sari,1A,@mega1608,mega779,3180585641,Pekanbaru,16-08-2018,1471120208180002,Perum. Wisma Kualu Blok Ac,085363234317,,2
Naufal Rizky,1A,@naufal1708,naufal335,3180585642,Pekanbaru,17-08-2018,1471120208180002,Perum. Wisma Kualu Blok Ac,085363234317,,2
Olivia Salsabila,1A,@olivia1808,olivia676,3180585643,Pekanbaru,18-08-2018,1471120208180002,Perum. Wisma Kualu Blok Ac,085363234317,,2
Putra Wijaya,1A,@putra1908,putra849,3180585644,Pekanbaru,19-08-2018,1471120208180002,Perum. Wisma Kualu Blok Ac,085363234317,,2
Qonita Zahra,1A,@qonita2008,qonita372,3180585645,Pekanbaru,20-08-2018,1471120208180002,Perum. Wisma Kualu Blok Ac,085363234317,,2
Rama Dwi,1A,@rama2108,rama634,3180585646,Pekanbaru,21-08-2018,1471120208180002,Perum. Wisma Kualu Blok Ac,085363234317,,2
Sinta Lestari,1A,@sinta2208,sinta647,3180585647,Pekanbaru,22-08-2018,1471120208180002,Perum. Wisma Kualu Blok Ac,085363234317,,2
Tegar Firmansyah,1A,@tegar2308,tegar386,3180585648,Pekanbaru,23-08-2018,1471120208180002,Perum. Wisma Kualu Blok Ac,085363234317,,2
Ulya Hidayati,1A,@ulya2408,ulya443,3180585649,Pekanbaru,24-08-2018,1471120208180002,Perum. Wisma Kualu Blok Ac,085363234317,,2
Vino Arya,1A,@vino2508,vino170,3180585650,Pekanbaru,25-08-2018,1471120208180002,Perum. Wisma Kualu Blok Ac,085363234317,,2
Wulan Cahyani,1A,@wulan2608,wulan190,3180585651,Pekanbaru,26-08-2018,1471120208180002,Perum. Wisma Kualu Blok Ac,085363234317,,2
Xena Rahmawati,1A,@xena2708,xena988,3180585652,Pekanbaru,27-08-2018,1471120208180002,Perum. Wisma Kualu Blok Ac,085363234317,,2
Yusuf Hilmi,1A,@yusuf2808,yusuf985,3180585653,Pekanbaru,28-08-2018,1471120208180002,Perum. Wisma Kualu Blok Ac,085363234317,,2
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,
